6,1,38998
0,2,22254
1,3,70392
2,4,26934
3,5,32161
4,6,22357
5,7,20286
6,8,36255
0,9,20245
1,10,27438
2,11,43459
3,12,24325
4,13,68203
5,14,72220
6,15,35663
0,16,75806
1,17,73460
2,18,54221
3,19,39638
4,20,55307
5,21,65472
6,22,69070
0,23,29268
1,24,64604
2,25,48184
3,26,68990
4,27,52778
5,28,35420
6,29,75071
0,30,79424
1,31,84934
2,1,42495
3,2,35483
4,3,98687
5,4,28691
6,5,48700
0,6,55054
1,7,77115
2,8,49544
3,9,69302
4,10,27059
5,11,44956
6,12,46910
0,13,35772
1,14,37088
2,15,65332
3,16,39305
4,17,52199
5,18,45317
6,19,64733
0,20,31220
1,21,68892
2,22,50593
3,23,79066
4,24,58163
5,25,61737
6,26,46957
0,27,33009
1,28,48123
2,1,53754
3,2,70240
4,3,34450
5,4,40616
6,5,68940
0,6,29109
1,7,52968
2,8,52518
3,9,37285
4,10,54904
5,11,47785
6,12,64803
0,13,27599
1,14,79552
2,15,73563
3,16,63070
4,17,5942
5,18,31671
6,19,39257
0,20,50960
1,21,47433
2,22,56941
3,23,58694
4,24,46167
5,25,41799
6,26,33800
0,27,18116
1,28,36311
2,29,41049
3,30,66834
4,31,49170
5,1,49067
6,2,39761
0,3,22642
1,4,27431
2,5,42320
3,6,36125
4,7,42956
5,8,59716
6,9,48391
0,10,16399
1,11,46895
2,12,34359
3,13,33752
4,14,27624
5,15,12966
6,16,18851
0,17,8459
1,18,60439
2,19,38367
3,20,28143
4,21,40406
5,22,34460
6,23,22918
0,24,32896
1,25,32271
2,26,46009
3,27,36562
4,28,41167
5,29,48089
6,30,57094
0,1,46465
1,2,28571
2,3,58068
3,4,22850
4,5,50137
5,6,48549
6,7,36153
0,8,19215
1,9,34202
2,10,44605
3,11,37131
4,12,59477
5,13,26464
6,14,29592
0,15,25479
1,16,66789
2,17,32635
3,18,31489
4,19,38832
5,20,47355
6,21,35491
0,22,23347
1,23,23838
2,24,18717
3,25,33221
4,26,44778
5,27,61157
6,28,56074
0,29,20408
1,30,95617
2,31,45728
3,1,60401
4,2,63008
5,3,76277
6,4,44204
0,5,26372
1,6,44681
2,7,44085
3,8,47717
4,9,68448
5,10,71911
6,11,62479
0,12,28620
1,13,57226
2,14,62923
3,15,45929
4,16,56485
5,17,75630
6,18,39971
0,19,35852
1,20,33823
2,21,46263
3,22,40916
4,23,70865
5,24,75597
6,25,54893
0,26,25492
1,27,53505
2,28,42196
3,29,60043
4,30,89894
5,1,67353
6,2,58481
0,3,36531
1,4,63672
2,5,63557
3,6,64802
4,7,27626
5,8,48341
6,9,26115
0,10,27778
1,11,49241
2,12,46537
3,13,63645
4,14,83409
5,15,109002
6,16,92501
0,17,45127
1,18,62579
2,19,53310
3,20,97077
4,21,68708
5,22,69614
